ID;Address;Longitude;Latitude;Point;State;Source_date;Color
PA_0773;Av. Franklin Delano Roosevelt, 75008 Paris;2.312789484481882;48.86688408402882;20;Détruit !;juillet 2019 (report);black
PA_0775;4 place des Victoires;2.340667;48.865825;20;OK;novembre 2022 (report);blue
PA_0777;4 Rue Tiquetonne, 75002 Paris;2.3498393692457165;48.86440816168863;30;Détruit !;avril 2015 (spott);black
PA_0778;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.3740080169398587;48.82023680352402;20;OK;octobre 2020;blue
PA_0779;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374128149823752;48.820276762894245;20;OK;octobre 2020;blue
PA_0782;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.3740177176704096;48.8201586072411;20;OK;octobre 2020;blue
PA_0783;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374158518665921;48.820205869535776;20;Détruit !;novembre 2021;black
PA_0784;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374470489503253;48.82033311395101;20;OK;octobre 2020;blue
PA_0786;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.3746002472834307;48.82033129617587;20;OK;octobre 2020;blue
PA_0787;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374492575933921;48.82028585177631;20;Détruit !;mars 2021 (report);black
PA_0788;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.3750198894661305;48.8204585402755;20;OK;septembre 2018 (spott);blue
PA_0789;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374589204068096;48.82037310498713;20;OK;octobre 2020;blue
PA_0790;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374903935705121;48.820425820395016;20;Détruit !;avril 2021 (report);black
PA_0791;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374981238212461;48.8205494287203;20;OK;octobre 2020;blue
PA_0792;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374851480432284;48.8205148911307;20;OK;octobre 2020;blue
PA_0793;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.375285974504149;48.820626087450286;20;OK;octobre 2020;blue
PA_0794;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.375416791186413;48.82067212356799;20;OK;octobre 2020;blue
PA_0799;Men Ready-To-Wear, 40 Boulevard Haussmann Galeries Lafayette, 75009 Paris;2.330225202777162;48.87366890112291;10;Détruit !;juillet 2015 (spott);black
PA_0801;maison de Serge Gainsbourg;2.33175;48.85719;20;Détruit !;octobre 2019 (report);black
PA_0804;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.375337850085047;48.82055926075255;20;OK;octobre 2020;blue
PA_0805;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.375466411307272;48.82059341663141;20;OK;octobre 2020;blue
PA_0806;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.374741048278941;48.82041491376346;20;Détruit !;avril 2015 (spott);black
PA_0807;alignés sur le périph à côté de Porte d'Ivry, flashable en face depuis la Rue André Voguet;2.37518277689231;48.82053125104454;20;Détruit !;avril 2015 (spott);black
